Sr.No.,Player Name,Winning Bid,Team,Season,Play type,Nationality
6,Praveen Dubey,3500000,RCB,2016,All-Rounder,Indian
1,Praveen Kumar,35000000,GL,2016,Spinner,Indian
16,Pravin Dubey,5000000,DC,2022,All-Rounder,Indian
19,Pravin Dubey,3000000,PBKS,2025,All-Rounder,Indian
8,Pravin Tambe,2000000,KKR,2020,Pacer,Indian
7,Pravin Tambe,1000000,SRH,2017,Spinner,Indian
12,Pravin Tambe,2000000,GL,2016,Pacer,Indian
4,Prayas Ray Barman,15000000,RCB,2019,All-Rounder,Indian
10,Prerak Mankad,2000000,LSG,2023,All-Rounder,Indian
19,Prerak Mankad,2000000,PBKS,2022,All-Rounder,Indian
5,Prince Balwant Rai Singh,2000000,MI,2020,All-Rounder,Indian
8,Prince Choudhary,2000000,PBKS,2024,Pacer,Indian
15,Prince Yadav,3000000,LSG,2025,Pacer,Indian
7,Prithvi Raj Yarra,2000000,KKR,2019,Spinner,Indian
14,Prithvi Shaw,12000000,DD,2018,Batter,Indian
16,Priyam  Garg,2000000,SRH,2022,Batter,Indian
2,Priyam Garg,19000000,SRH,2020,Batter,Indian
8,Priyansh Arya,38000000,PBKS,2025,Batter,Indian
20,Pyla Avinash,3000000,PBKS,2025,Spinner,Indian
5,Quinton De Kock,67500000,LSG,2022,Wicket Keeper,Overseas
7,Quinton De Kock,28000000,RCB,2018,Wicket Keeper,Overseas
3,Quinton De Kock,36000000,KKR,2025,Wicket-Keeper,Overseas
18,R Samarth,2000000,SRH,2022,Batter,Indian
9,R. Sai Kishore,20000000,GT,2025,Spinner,Indian
6,R. Sai Kishore,30000000,GT,2022,Spinner,Indian
4,R. Sai Kishore,2000000,CSK,2020,Spinner,Indian
8,R. Sanjay Yadav,1000000,KKR,2017,All-Rounder,Indian
5,Rachin Ravindra,40000000,CSK,2025,All-Rounder,Overseas
5,Rachin Ravindra,18000000,CSK,2024,All-Rounder,Overseas
5,Raghav Goyal,2000000,MI,2023,Spinner,Indian
7,Rahmanullah Gurbaz,20000000,KKR,2025,Wicket-Keeper,Overseas
9,Rahul Ajay Tripathi,1000000,RPS,2017,All-Rounder,Indian
3,Rahul Ajay Tripathi,85000000,SRH,2022,Batter,Indian
5,Rahul Ajay Tripathi,6000000,KKR,2020,Batter,Indian
9,Rahul Ajay Tripathi,34000000,RR,2018,Batter,Indian
7,Rahul Ajay Tripathi,34000000,CSK,2025,Batter,Indian
19,Rahul Buddhi,2000000,MI,2022,Batter,Indian
5,Rahul Chahar,32000000,SRH,2025,Spinner,Indian
7,Rahul Chahar,52500000,PBKS,2022,Spinner,Indian
9,Rahul Chahar,19000000,MI,2018,Spinner,Indian
6,Rahul Chahar,1000000,RPS,2017,Spinner,Indian
2,Rahul Tewatia,90000000,GT,2022,All-Rounder,Indian
6,Rahul Tewatia,30000000,DD,2018,All-Rounder,Indian
7,Rahul Tewatia,2500000,KXIP,2017,All-Rounder,Indian
16,Raj Angad Bawa,3000000,MI,2025,All-Rounder,Indian
9,Raj Angad Bawa,20000000,PBKS,2022,All-Rounder,Indian
6,Rajagopal Sathish,2000000,KKR,2016,All-Rounder,Indian
3,Rajan Kumar,7000000,RCB,2023,Pacer,Indian
7,Rajat Bhatia,6000000,RPS,2016,All-Rounder,Indian
5,Rajat Patidar,2000000,RCB,2021,Batter,Indian
9,Rajvardhan Hangargekar,15000000,CSK,2022,All-Rounder,Indian
13,Rajvardhan Hangargekar,3000000,LSG,2025,All-Rounder,Indian
17,Ramakrishna Ghosh,3000000,CSK,2025,All-Rounder,Indian
9,Ramandeep  Singh,2000000,KKR,2024,All-Rounder,Indian
17,Ramandeep  Singh,2000000,MI,2022,All-Rounder,Indian
20,Ramesh Kumar,2000000,KKR,2022,Batter,Indian
12,Ranganath Vinay Kumar,10000000,KKR,2018,Pacer,Indian
2,Rashid Khan Arman,90000000,SRH,2018,Spinner,Overseas
1,Rashid Khan Arman,40000000,SRH,2017,Spinner,Overseas
9,Rasikh Dar,2000000,DC,2024,Pacer,Indian
17,Rasikh Dar,2000000,KKR,2022,Pacer,Indian
6,Rasikh Dar,2000000,MI,2019,Pacer,Indian
6,Rasikh Dar,60000000,RCB,2025,Pacer,Indian
12,Rassie Van Der Dussen,10000000,RR,2022,Batter,Overseas
4,Ravi Bishnoi,20000000,KXIP,2020,Spinner,Indian
6,Ravichandaran Ashwin,50000000,RR,2022,All-Rounder,Indian
2,Ravichandaran Ashwin,97500000,CSK,2025,Spinner,Indian
2,Ravichandran Ashwin,76000000,KXIP,2018,All-Rounder,Indian
9,Reece Topley,7500000,MI,2025,Pacer,Overseas
2,Reece Topley,19000000,RCB,2023,Pacer,Overseas
22,Ricky Bhui,2000000,SRH,2018,Batter,Indian
7,Ricky Bhui,2000000,DC,2024,Wicket-Keeper,Indian
2,Rilee Rossouw,80000000,PBKS,2024,Batter,Overseas
2,Rilee Rossouw,46000000,DC,2023,Batter,Overseas
10,Riley Meredith,10000000,MI,2022,Pacer,Overseas
2,Riley Meredith,80000000,PBKS,2021,Pacer,Overseas
12,Rinku Singh,5500000,KKR,2022,Batter,Indian
13,Rinku Singh,8000000,KKR,2018,Batter,Indian
8,Rinku Singh,1000000,KXIP,2017,Batter,Indian
20,Ripal Patel,2000000,DC,2022,All-Rounder,Indian
5,Ripal Patel,2000000,DC,2021,All-Rounder,Indian
6,Rishabh Pant,19000000,DD,2016,Wicket Keeper,Indian
1,Rishabh Pant,270000000,LSG,2025,Wicket-Keeper,Indian
13,Rishi Dhawan,5500000,PBKS,2022,All-Rounder,Indian
4,Rishi Dhawan,5500000,KKR,2017,All-Rounder,Indian
7,Riyan Parag,38000000,RR,2022,All-Rounder,Indian
7,Riyan Parag,2000000,RR,2019,All-Rounder,Indian
10,Robin Minz,6500000,MI,2025,Wicket-Keeper,Indian
4,Robin Minz,36000000,GT,2024,Wicket-Keeper,Indian
6,Robin Uthappa,20000000,CSK,2022,Batter,Indian
1,Robin Uthappa,30000000,RR,2020,Batter,Indian
4,Robin Uthappa,64000000,KKR,2018,Wicket Keeper,Indian
13,Romario Shepherd,15000000,RCB,2025,All-Rounder,Overseas
4,Romario Shepherd,5000000,LSG,2023,All-Rounder,Overseas
4,Romario Shepherd,77500000,SRH,2022,All-Rounder,Overseas
10,Rovman Powell,15000000,KKR,2025,All-Rounder,Overseas
6,Rovman Powell,3000000,KKR,2017,All-Rounder,Overseas
6,Rovman Powell,28000000,DC,2022,Batter,Overseas
1,Rovman Powell,74000000,RR,2024,Batter,Overseas
11,Rudra Pratap Singh,3000000,RPS,2016,Pacer,Indian
2,Ruturaj Gaikwad,2000000,CSK,2019,Batter,Indian
7,Ryan Rickelton,10000000,MI,2025,Wicket-Keeper,Overseas
13,Sachin Baby,3000000,SRH,2025,All-Rounder,Indian
4,Sachin Baby,2000000,RCB,2021,Batter,Indian
19,Sachin Baby,2000000,SRH,2018,Batter,Indian
10,Sachin Baby,1000000,RCB,2016,Batter,Indian
10,Sakib Hussain,2000000,KKR,2024,Pacer,Indian
5,Sam Billings,20000000,KKR,2022,Wicket Keeper,Overseas
3,Sam Billings,20000000,DC,2021,Wicket Keeper,Overseas
11,Sam Billings,10000000,CSK,2018,Wicket Keeper,Overseas
8,Sam Billings,3000000,DD,2016,Wicket Keeper,Overseas
8,Sam Curran,24000000,CSK,2025,All-Rounder,Overseas
1,Sam Curran,185000000,PBKS,2023,All-Rounder,Overseas
2,Sam Curran,55000000,CSK,2020,All-Rounder,Overseas
2,Sam Curran,72000000,KXIP,2019,All-Rounder,Overseas
12,Samarth Vyas,2000000,SRH,2023,All-Rounder,Indian
10,Sameer Rizvi,9500000,DC,2025,Batter,Indian
2,Sameer Rizvi,84000000,CSK,2024,Batter,Indian
4,Samuel Badree,5000000,RCB,2016,Pacer,Overseas
5,Sandeep Bavanaka,2000000,SRH,2020,All-Rounder,Indian
21,Sandeep Lamichhane,2000000,DD,2018,Spinner,Overseas
14,Sandeep Sharma,5000000,PBKS,2022,Pacer,Indian
8,Sandeep Sharma,30000000,SRH,2018,Pacer,Indian
13,Sanjay Yadav,5000000,MI,2022,All-Rounder,Indian
6,Sanjay Yadav,2000000,SRH,2020,All-Rounder,Indian
3,Sanju Samson,80000000,RR,2018,Wicket Keeper,Indian
3,Sanju Samson,42000000,DD,2016,Wicket Keeper,Indian
10,Sanvir Singh,2000000,SRH,2023,All-Rounder,Indian
17,Sarabjit Ladda,1000000,GL,2016,Spinner,Indian
18,Sarfaraz Khan,2000000,DC,2022,All-Rounder,Indian
9,Sarfaraz Naushad Khan,2500000,KXIP,2019,All-Rounder,Indian
20,Saurabh Dubey,2000000,SRH,2022,Pacer,Indian
8,Saurabh Kumar,2000000,PBKS,2021,All-Rounder,Indian
7,Saurabh Kumar,1000000,RPS,2017,Spinner,Indian
3,Saurabh Tiwary,5000000,MI,2020,Batter,Indian
13,Saurabh Tiwary,8000000,MI,2018,Batter,Indian
5,Saurabh Tiwary,3000000,MI,2017,Batter,Indian
5,Saurav Chuahan,2000000,RCB,2024,Batter,Indian
22,Sayan Ghosh,2000000,DD,2018,Spinner,Indian
7,Sayan Ghosh,1000000,KKR,2017,Spinner,Indian
9,Scott Boland,5000000,RPS,2016,Pacer,Overseas
11,Sean Abbott,24000000,SRH,2022,Pacer,Overseas
11,Shadab Jakati,2000000,GL,2016,All-Rounder,Indian
7,Shahbaz Ahamad,24000000,LSG,2025,All-Rounder,Indian
7,Shahbaz Ahamad,24000000,RCB,2022,All-Rounder,Indian
6,Shahbaz Ahamad,2000000,RCB,2020,Wicket Keeper,Indian
12,Shahbaz Nadeem,5000000,LSG,2022,Spinner,Indian
4,Shahbaz Nadeem,32000000,DD,2018,Spinner,Indian
2,Shahrukh Khan,74000000,GT,2024,All-Rounder,Indian
3,Shahrukh Khan,90000000,PBKS,2022,All-Rounder,Indian
3,Shahrukh Khan,52500000,PBKS,2021,All-Rounder,Indian
5,Shai Hope,7500000,DC,2024,Wicket-Keeper,Overseas
20,Shaik Rasheed,3000000,CSK,2025,Batter,Indian
7,Shaik Rasheed,2000000,CSK,2023,Batter,Indian
1,Shakib Al Hasan,15000000,KKR,2023,All-Rounder,Overseas
1,Shakib Al Hasan,32000000,KKR,2021,All-Rounder,Overseas
11,Shakib Al Hasan,20000000,SRH,2018,All-Rounder,Overseas
10,Shamar Joseph,7500000,LSG,2025,Pacer,Overseas
8,Shams Mulani,2000000,MI,2023,All-Rounder,Indian
4,Shane Watson,40000000,CSK,2018,All-Rounder,Overseas
1,Shane Watson,95000000,RCB,2016,All-Rounder,Overseas
20,Sharad Lumba,2000000,MI,2018,Batter,Indian
5,Shardul Narendra Thakur,26000000,CSK,2018,Pacer,Indian
3,Shardul Thakur,40000000,CSK,2024,All-Rounder,Indian
1,Shardul Thakur,107500000,DC,2022,Pacer,Indian
7,Shashank  Singh,2000000,PBKS,2024,Batter,Indian
19,Shashank Singh,2000000,SRH,2022,All-Rounder,Indian
6,Shashank Singh,3000000,RR,2019,All-Rounder,Indian
9,Shashank Singh,1000000,DD,2017,All-Rounder,Indian
2,Sheldon Cottrell,85000000,KXIP,2020,Pacer,Overseas
11,Sheldon Jackson,6000000,KKR,2022,Wicket Keeper,Indian
7,Sheldon Jackson,2000000,KKR,2021,Wicket Keeper,Indian
11,Shelley Shaurya,1000000,GL,2017,Pacer,Indian
6,Sherfane Rutherford,26000000,GT,2025,All-Rounder,Overseas
9,Sherfane Rutherford,10000000,RCB,2022,All-Rounder,Overseas
4,Sherfane Rutherford,20000000,DC,2019,All-Rounder,Overseas
3,Sherfane Rutherford,15000000,KKR,2024,Batter,Overseas
4,Shikhar Dhawan,82500000,PBKS,2022,Batter,Indian
3,Shikhar Dhawan,52000000,SRH,2018,Batter,Indian
2,Shimron Hetmyer,85000000,RR,2022,Batter,Overseas
1,Shimron Hetmyer,77500000,DC,2020,Batter,Overseas
2,Shimron Hetmyer,42000000,RCB,2019,Batter,Overseas
6,Shivalik Sharma,2000000,MI,2024,All-Rounder,Indian
4,Shivam  Mavi,72500000,KKR,2022,All-Rounder,Indian
1,Shivam  Mavi,64000000,LSG,2024,Pacer,Indian
4,Shivam Dube,40000000,CSK,2022,All-Rounder,Indian
2,Shivam Dube,44000000,RR,2021,All-Rounder,Indian
1,Shivam Dube,50000000,RCB,2019,All-Rounder,Indian
9,Shivam Mavi,30000000,KKR,2018,All-Rounder,Indian
1,Shivam Mavi,60000000,GT,2023,Pacer,Indian
4,Shivam Singh,2000000,PBKS,2023,All-Rounder,Indian
15,Shivil Kaushik,1000000,GL,2016,Pacer,Indian
13,Shreevats Goswami,10000000,SRH,2018,Wicket Keeper,Indian
18,Shreyas Gopal,2000000,RR,2018,All-Rounder,Indian
16,Shreyas Gopal,3000000,CSK,2025,Spinner,Indian
5,Shreyas Gopal,2000000,MI,2024,Spinner,Indian
13,Shreyas Gopal,7500000,SRH,2022,Spinner,Indian
1,Shreyas Iyer,122500000,KKR,2022,Batter,Indian
1,Shreyas Iyer,267500000,PBKS,2025,Batter,Indian
17,Shrijith Krishnan,3000000,MI,2025,Wicket Keeper,Indian
6,Shrikant Mundhe,2000000,KKR,2019,All-Rounder,Indian
7,Shubam Agrawal,1000000,GL,2017,All-Rounder,Indian
2,Shubham Dubey,58000000,RR,2024,Batter,Indian
10,Shubham Dubey,8000000,RR,2025,Batter,Indian
20,Shubham Garhwal,2000000,RR,2022,All-Rounder,Indian
9,Shubham Ranjane,2000000,RR,2019,All-Rounder,Indian
11,Shubman Gill,18000000,KKR,2018,Batter,Indian
13,Siddharth  Kaul,7500000,RCB,2022,Pacer,Indian
5,Siddharth  Kaul,38000000,SRH,2018,Spinner,Indian
18,Siddhesh Dinesh Lad,2000000,MI,2018,Batter,Indian
2,Sikandar Raza,5000000,PBKS,2023,All-Rounder,Overseas
7,Simarjeet Singh,15000000,SRH,2025,Pacer,Indian
18,Simarjeet Singh,2000000,CSK,2022,Pacer,Indian
5,Sonu Yadav,2000000,RCB,2023,All-Rounder,Indian
5,Spencer Johnson,28000000,KKR,2025,Pacer,Overseas
1,Spencer Johnson,100000000,GT,2024,Pacer,Overseas
2,Steve Smith,22000000,DC,2021,Batter,Overseas
13,Stuart Binny,5000000,RR,2018,All-Rounder,Indian
2,Stuart Binny,20000000,RCB,2016,All-Rounder,Indian
19,Subhranshu Senapati,2000000,CSK,2022,Batter,Indian
4,Sumit Kumar,10000000,DC,2024,All-Rounder,Indian
6,Suryakumar Yadav,32000000,MI,2018,Batter,Indian
21,Suryansh  Shedge,3000000,PBKS,2025,All-Rounder,Indian
5,Sushant Mishra,22000000,GT,2024,Pacer,Indian
7,Suyash Prabhudesai,2000000,RCB,2021,All-Rounder,Indian
15,Suyash Prabhudessai,3000000,RCB,2022,All-Rounder,Indian
10,Suyash Sharma,26000000,RCB,2025,Spinner,Indian
8,Suyash Sharma,2000000,KKR,2023,Spinner,Indian
6,Swapnil Singh,2000000,RCB,2024,All-Rounder,Indian
8,Swapnil Singh,2000000,LSG,2023,All-Rounder,Indian
8,Swapnil Singh,1000000,KXIP,2016,All-Rounder,Indian
15,Swapnil Singh,5000000,RCB,2025,All-Rounder,Indian
8,Swastik Chhikara,2000000,DC,2024,Batter,Indian
18,Swastik Chhikara,3000000,RCB,2025,Batter,Indian
12,Syed Khaleel Ahmed,1000000,DD,2016,Pacer,Indian
4,Syed Khaleel Ahmed,48000000,CSK,2025,Pacer,Indian
4,Syed Khaleel Ahmed,52500000,DC,2022,Pacer,Indian
7,Syed Khaleel Ahmed,30000000,SRH,2018,Pacer,Indian
21,Syed Mehdi Hasan,2000000,SRH,2018,All-Rounder,Indian
3,T Natarajan,107500000,DC,2025,Pacer,Indian
8,T Natarajan,40000000,SRH,2022,Pacer,Indian
18,T Natarajan,4000000,SRH,2018,Pacer,Indian
1,T Natarajan,30000000,KXIP,2017,Pacer,Indian
8,Tajinder Dhillon,2000000,KXIP,2020,All-Rounder,Indian
14,Tajinder Dhillon,5500000,MI,2018,All-Rounder,Indian
4,Tanay Thyagarajann,2000000,PBKS,2024,All-Rounder,Indian
23,Tanmay Agarwal,2000000,SRH,2018,Batter,Indian
8,Tanmay Agarwal,1000000,SRH,2017,Batter,Indian
18,Tejas Baroka,2000000,RR,2022,Spinner,Indian
8,Tejas Singh Baroka,1000000,GL,2017,Pacer,Indian
6,Thisara Perera,10000000,RPS,2016,All-Rounder,Indian
2,Tim David,82500000,MI,2022,All-Rounder,Overseas
8,Tim David,30000000,RCB,2025,Batter,Overseas
15,Tim Seifert,5000000,DC,2022,Wicket Keeper,Overseas
8,Tim Southee,15000000,KKR,2022,Pacer,Overseas
17,Tim Southee,10000000,RCB,2018,Pacer,Overseas
3,Tim Southee,25000000,MI,2016,Pacer,Overseas
10,Tirumalasetti Suman,1000000,SRH,2016,Batter,Indian
4,Tom Banton,10000000,KKR,2020,Batter,Overseas
4,Tom Curran,15000000,RCB,2024,All-Rounder,Overseas
1,Tom Curran,52500000,DC,2021,All-Rounder,Overseas
5,Tom Curran,10000000,RR,2020,All-Rounder,Overseas
4,Tom Kohler-Cadmore,4000000,RR,2024,Wicket-Keeper,Overseas
5,Travis Head,5000000,RCB,2016,Batter,Overseas
2,Travis Head,68000000,SRH,2024,Batter,Overseas
1,Trent Boult,125000000,MI,2025,Pacer,Overseas
3,Trent Boult,80000000,RR,2022,Pacer,Overseas
9,Trent Boult,22000000,DD,2018,Pacer,Overseas
1,Trent Boult,50000000,KKR,2017,Pacer,Overseas
16,Tripurana Vijay,3000000,DC,2025,All-Rounder,Indian
6,Tristan Stubbs,5000000,DC,2024,Wicket-Keeper,Overseas
2,Tushar Deshpande,65000000,RR,2025,Pacer,Indian
17,Tushar Deshpande,2000000,CSK,2022,Pacer,Indian
7,Tushar Deshpande,2000000,DC,2020,Pacer,Indian
8,Tymal Mills,15000000,MI,2022,Pacer,Overseas
1,Tymal Mills,120000000,RCB,2017,Pacer,Overseas
18,Umang Sharma,1000000,GL,2016,Batter,Indian
3,Umesh Yadav,58000000,GT,2024,Pacer,Indian
6,Umesh Yadav,20000000,KKR,2022,Pacer,Indian
4,Umesh Yadav,10000000,DC,2021,Pacer,Indian
3,Umesh Yadav,42000000,RCB,2018,Pacer,Indian
11,Umran  Malik,7500000,KKR,2025,Pacer,Indian
9,Upendra Singh Yadav,2500000,SRH,2023,Wicket-Keeper,Indian
7,Urvil Patel,2000000,GT,2023,Wicket-Keeper,Indian
9,Utkarsh Singh,2000000,PBKS,2021,All-Rounder,Indian
8,Vaibhav Arora,18000000,KKR,2025,Pacer,Indian
4,Vaibhav Arora,6000000,KKR,2023,Pacer,Indian
10,Vaibhav Arora,20000000,PBKS,2022,Pacer,Indian
8,Vaibhav Arora,2000000,KKR,2021,Spinner,Indian
9,Vaibhav Suryavanshi,11000000,RR,2025,Batter,Indian
14,Vansh Bedi,5500000,CSK,2025,Wicket-Keeper,Indian
16,Varun Aaron,5000000,GT,2022,Pacer,Indian
2,Varun Aaron,24000000,RR,2019,Pacer,Indian
2,Varun Aaron,28000000,KXIP,2017,Pacer,Indian
3,Varun Chakaravarthy,40000000,KKR,2020,All-Rounder,Indian
1,Varun Chakaravarthy,84000000,KXIP,2019,All-Rounder,Indian
15,Venkata Satyanarayana Penmetsa,3000000,MI,2025,Pacer,Indian
1,Venkatesh Iyer,237500000,KKR,2025,All-Rounder,Indian
6,Venkatesh Iyer,2000000,KKR,2021,All-Rounder,Indian
19,Vicky Ostwal,2000000,DC,2022,All-Rounder,Indian
5,Vidwath Kaverappa,2000000,PBKS,2023,Pacer,Indian
12,Vignesh Puthur,3000000,MI,2025,Spinner,Indian
13,Vijay Shankar,12000000,CSK,2025,All-Rounder,Indian
13,Vijay Shankar,14000000,GT,2022,All-Rounder,Indian
5,Vijay Shankar,32000000,DD,2018,All-Rounder,Indian
8,Vijay Shankar,3500000,SRH,2016,All-Rounder,Indian
11,Vikas Tokas,1000000,RCB,2016,Pacer,Indian
7,Vikramjeet Malik,2000000,RCB,2016,Spinner,Indian
13,Vipraj Nigam,5000000,DC,2025,All-Rounder,Indian
3,Virat Singh,19000000,SRH,2020,Batter,Indian
16,Vishnu Vinod,9500000,PBKS,2025,Wicket Keeper,Indian
14,Vishnu Vinod,5000000,SRH,2022,Wicket Keeper,Indian
6,Vishnu Vinod,2000000,DC,2021,Wicket Keeper,Indian
6,Vishnu Vinod,2000000,MI,2023,Wicket-Keeper,Indian
5,Vishwanath Pratap Singh,2000000,PBKS,2024,All-Rounder,Indian
4,Vivrant Sharma,26000000,SRH,2023,All-Rounder,Indian
12,Vyshak Vijaykumar,18000000,PBKS,2025,Pacer,Indian
3,Wanindu Hasaranga,52500000,RR,2025,All-Rounder,Overseas
4,Wanindu Hasaranga,15000000,SRH,2024,All-Rounder,Overseas
1,Wanindu Hasaranga,107500000,RCB,2022,All-Rounder,Overseas
5,Washington Sundar,32000000,GT,2025,All-Rounder,Indian
2,Washington Sundar,87500000,SRH,2022,All-Rounder,Indian
5,Washington Sundar,32000000,RCB,2018,All-Rounder,Indian
3,Will Jacks,52500000,MI,2025,All-Rounder,Overseas
1,Will Jacks,32000000,RCB,2023,Batter,Overseas
11,Wriddhiman  Saha,19000000,GT,2022,Wicket Keeper,Indian
2,Wriddhiman Saha,12000000,SRH,2019,Wicket Keeper,Indian
4,Wriddhiman Saha,50000000,SRH,2018,Wicket Keeper,Indian
21,Writtick Chatterjee,2000000,PBKS,2022,All-Rounder,Indian
17,Xavier Bartlett,8000000,PBKS,2025,Pacer,Overseas
2,Yash  Dayal,50000000,RCB,2024,Pacer,Indian
4,Yash  Dayal,32000000,GT,2022,Pacer,Indian
14,Yash Dhull,5000000,DC,2022,All-Rounder,Indian
13,Yash Thakur,16000000,PBKS,2025,Pacer,Indian
7,Yash Thakur,4500000,LSG,2023,Pacer,Indian
3,Yashasvi Jaiswal,24000000,RR,2020,All-Rounder,Indian
9,Yudhvir Charak,2000000,LSG,2023,All-Rounder,Indian
5,Yudhvir Charak,2000000,MI,2021,All-Rounder,Indian
11,Yudhvir Charak,3500000,RR,2025,Spinner,Indian
12,Yusuf Pathan,19000000,SRH,2018,All-Rounder,Indian
14,Yuvraj Chaudhary,3000000,LSG,2025,Batter,Indian
3,Yuvraj Singh,10000000,MI,2019,All-Rounder,Indian
12,Yuvraj Singh,20000000,KXIP,2018,All-Rounder,Indian
1,Yuvraj Singh,70000000,SRH,2016,All-Rounder,Indian
2,Yuzvendra Singh Chahal,180000000,PBKS,2025,Spinner,Indian
5,Yuzvendra Singh Chahal,65000000,RR,2022,Spinner,Indian
2,Yuzvendra Singh Chahal,60000000,RCB,2018,Spinner,Indian
11,Zahir Khan Pakteen,6000000,RR,2018,Spinner,Indian
12,Zeeshan Ansari,4000000,SRH,2025,Spinner,Indian
