Sr.No.,Player Name,Winning Bid,Team,Season,Base price,Play type,,,Type,NATIONALITY
1,Benjamin Stokes,145000000,RPS,2017,,All-Rounder,,,,
2,Dan Christian,10000000,RPS,2017,,All-Rounder,,,,
3,Manoj Tiwary,5000000,RPS,2017,,Batsman,,,,
4,Lockie Ferguson,5000000,RPS,2017,,Bowler,,,,
5,Jaydev Unadkat,3000000,RPS,2017,,Bowler,,,,
6,Rahul Chahar,1000000,RPS,2017,,Bowler,,,,
7,Saurabh Kumar,1000000,RPS,2017,,Bowler,,,,
8,Milind Tandon,1000000,RPS,2017,,All-Rounder,,,,
9,Rahul Ajay Tripathi,1000000,RPS,2017,,All-Rounder,,,,
1,Tymal Mills,120000000,RCB,2017,,Bowler,,,,
2,Aniket Choudhary,20000000,RCB,2017,,Bowler,,,,
3,Pawan Negi,10000000,RCB,2017,,All-Rounder,,,,
4,Billy Stanlake,3000000,RCB,2017,,Bowler,,,,
5,Praveen Dubey,1000000,RCB,2017,,All-Rounder,,,,
1,Rashid Khan Arman,40000000,SRH,2017,,Bowler,,,,
2,Mohammed Siraj,26000000,SRH,2017,,Bowler,,,,
3,Eklavya Dwivedi,7500000,SRH,2017,,Wicket Keeper,,,,
4,Chris Jordan,5000000,SRH,2017,,All-Rounder,,,,
5,Mohammad Nabi,3000000,SRH,2017,,All-Rounder,,,,
6,Ben Laughlin,3000000,SRH,2017,,Bowler,,,,
7,Pravin Tambe,1000000,SRH,2017,,Bowler,,,,
8,Tanmay Agarwal,1000000,SRH,2017,,Batsman,,,,
1,Pawan Negi,85000000,DD,2016,,All-Rounder,,,,
2,Christopher Morris,70000000,DD,2016,,All-Rounder,,,,
3,Sanju Samson,42000000,DD,2016,,Wicket Keeper,,,,
4,Carlos Brathwaite,42000000,DD,2016,,All-Rounder,,,,
5,Karun Nair,40000000,DD,2016,,Batsman,,,,
6,Rishabh Pant,19000000,DD,2016,,Wicket Keeper,,,,
7,Joel Paris,3000000,DD,2016,,Bowler,,,,
8,Sam Billings,3000000,DD,2016,,Wicket Keeper,,,,
9,Chama Milind,1000000,DD,2016,,Bowler,,,,
10,Pratyush Singh,1000000,DD,2016,,All-Rounder,,,,
11,Mahipal Lomror,1000000,DD,2016,,All-Rounder,,,,
12,Syed Khaleel Ahmed,1000000,DD,2016,,All-Rounder,,,,
13,Akhil Arvind Herwadkar,1000000,DD,2016,,All-Rounder,,,,
14,Pawan Suyal,1000000,DD,2016,,Bowler,,,,
1,Praveen Kumar,35000000,GL,2016,,Bowler,,,,
2,Dale Steyn,23000000,GL,2016,,Bowler,,,,
3,Dinesh Karthik,23000000,GL,2016,,Wicket Keeper,,,,
4,Dwayne Smith,23000000,GL,2016,,All-Rounder,,,,
5,Dhawal Kulkarni,20000000,GL,2016,,Bowler,,,,
6,Aaron Finch,10000000,GL,2016,,Batsman,,,,
7,Eklavya Dwivedi,10000000,GL,2016,,Wicket Keeper,,,,
8,Andrew Tye,5000000,GL,2016,,All-Rounder,,,,
9,Ishan Kishan,3500000,GL,2016,,Wicket Keeper,,,,
10,Jaydev Shah,2000000,GL,2016,,All-Rounder,,,,
11,Shadab Jakati,2000000,GL,2016,,All-Rounder,,,,
12,Pravin Tambe,2000000,GL,2016,,Bowler,,,,
13,Pradeep Sangwan,2000000,GL,2016,,All-Rounder,,,,
14,Amit Mishra,1000000,GL,2016,,Bowler,,,,
15,Shivil Kaushik,1000000,GL,2016,,Bowler,,,,
16,Akshdeep Nath,1000000,GL,2016,,All-Rounder,,,,
17,Sarabjit Ladda,1000000,GL,2016,,Bowler,,,,
18,Umang Sharma,1000000,GL,2016,,Batsman,,,,
19,Paras Dogra,1000000,GL,2016,,Batsman,,,,
1,Mohit Sharma,65000000,KXIP,2016,,Bowler,,,,
2,Kyle Abbott,21000000,KXIP,2016,,Bowler,,,,
3,K.C. Cariappa,8000000,KXIP,2016,,Bowler,,,,
4,Marcus Stoinis,5500000,KXIP,2016,,All-Rounder,,,,
5,Farhaan Behardien,3000000,KXIP,2016,,All-Rounder,,,,
6,Pardeep Sahu,1000000,KXIP,2016,,All-Rounder,,,,
7,Armaan Jaffer,1000000,KXIP,2016,,Batsman,,,,
8,Swapnil Singh,1000000,KXIP,2016,,All-Rounder,,,,
1,Jaydev Unadkat,16000000,KKR,2016,,Bowler,,,,
2,Ankit Singh Rajpoot,15000000,KKR,2016,,Bowler,,,,
3,John Hastings,13000000,KKR,2016,,Bowler,,,,
4,Jason Holder,7000000,KKR,2016,,All-Rounder,,,,
5,Colin Munro,3000000,KKR,2016,,All-Rounder,,,,
6,Rajagopal Sathish,2000000,KKR,2016,,All-Rounder,,,,
7,Manan Ajay Sharma,1000000,KKR,2016,,All-Rounder,,,,
1,Jos Buttler,38000000,MI,2016,,Wicket Keeper,,,,
2,Nathu Singh,32000000,MI,2016,,Bowler,,,,
3,Tim Southee,25000000,MI,2016,,Bowler,,,,
4,Krunal Pandya,20000000,MI,2016,,All-Rounder,,,,
5,Kishore Pramod Kamath,14000000,MI,2016,,All-Rounder,,,,
6,Deepak Punia,1000000,MI,2016,,All-Rounder,,,,
7,Jitesh Sharma,1000000,MI,2016,,Wicket Keeper,,,,
1,Mitchell Marsh,48000000,RPS,2016,,All-Rounder,,,,
2,M. Ashwin,45000000,RPS,2016,,Bowler,,,,
3,Ishant Sharma,38000000,RPS,2016,,Bowler,,,,
4,Kevin Pietersen,35000000,RPS,2016,,Batsman,,,,
5,Irfan Pathan,10000000,RPS,2016,,All-Rounder,,,,
6,Thisara Perera,10000000,RPS,2016,,All-Rounder,,,,
7,Rajat Bhatia,6000000,RPS,2016,,All-Rounder,,,,
8,Ashok Dinda,5000000,RPS,2016,,Bowler,,,,
9,Scott Boland,5000000,RPS,2016,,Bowler,,,,
10,Peter Handscomb,3000000,RPS,2016,,Wicket Keeper,,,,
11,Rudra Pratap Singh,3000000,RPS,2016,,Bowler,,,,
12,Adam Zampa,3000000,RPS,2016,,Bowler,,,,
13,Ishwar Chandra Pandey,2000000,RPS,2016,,Bowler,,,,
14,Deepak Chahar,1000000,RPS,2016,,All-Rounder,,,,
15,Jaskaran Singh,1000000,RPS,2016,,Bowler,,,,
16,Baba Aparajith,1000000,RPS,2016,,All-Rounder,,,,
17,Ankush Bains,1000000,RPS,2016,,Wicket Keeper,,,,
18,Ankit Sharma,1000000,RPS,2016,,All-Rounder,,,,
1,Shane Watson,95000000,RCB,2016,,All-Rounder,,,,
2,Stuart Binny,20000000,RCB,2016,,All-Rounder,,,,
3,Kane Richardson,20000000,RCB,2016,,Bowler,,,,
4,Samuel Badree,5000000,RCB,2016,,Bowler,,,,
5,Travis Head,5000000,RCB,2016,,Batsman,,,,
6,Praveen Dubey,3500000,RCB,2016,,All-Rounder,,,,
7,Vikramjeet Malik,2000000,RCB,2016,,Bowler,,,,
8,Akshay Karnewar,1000000,RCB,2016,,All-Rounder,,,,
9,Iqbal Abdullah,1000000,RCB,2016,,All-Rounder,,,,
10,Sachin Baby,1000000,RCB,2016,,Batsman,,,,
11,Vikas Tokas,1000000,RCB,2016,,Bowler,,,,
1,Yuvraj Singh,70000000,SRH,2016,,All-Rounder,,,,
2,Ashish Nehra,55000000,SRH,2016,,Bowler,,,,
3,Deepak Hooda,42000000,SRH,2016,,All-Rounder,,,,
4,Mustafizur Rahman,14000000,SRH,2016,,Bowler,,,,
5,Aditya Tare,12000000,SRH,2016,,Wicket Keeper,,,,
6,Barinder Singh Sran,12000000,SRH,2016,,Bowler,,,,
7,Ben Cutting,5000000,SRH,2016,,All-Rounder,,,,
8,Vijay Shankar,3500000,SRH,2016,,All-Rounder,,,,
9,Abhimanyu Mithun,3000000,SRH,2016,,Bowler,,,,
10,Tirumalasetti Suman,1000000,SRH,2016,,Batsman,,,,
1,Michael Hussey,15000000,CSK,2015,,Batsman,,,,
2,Irfan Pathan,15000000,CSK,2015,,All-Rounder,,,,
3,Rahul Sharma,3000000,CSK,2015,,Bowler,,,,
4,Kyle Abbott,3000000,CSK,2015,,Bowler,,,,
5,Andrew Tye,2000000,CSK,2015,,Bowler,,,,
6,Pratyush Singh,1000000,CSK,2015,,All-Rounder,,,,
7,Ankush Bains,1000000,CSK,2015,,Wicket Keeper,,,,
8,Eklavya Dwivedi,1000000,CSK,2015,,Wicket Keeper,,,,
1,Yuvraj Singh,160000000,DD,2015,,Batsman,,,,
2,Angelo Mathews,75000000,DD,2015,,All-Rounder,,,,
3,Zaheer Khan,40000000,DD,2015,,Bowler,,,,
4,Amit Mishra,35000000,DD,2015,,Bowler,,,,
5,Shreyas Iyer,26000000,DD,2015,,Batsman,,,,
6,Gurinder Sandhu,17000000,DD,2015,,Bowler,,,,
7,Jaydev Unadkat,11000000,DD,2015,,Bowler,,,,
8,Domnic Joseph Muthuswamy,7500000,DD,2015,,Bowler,,,,
9,Albie Morkel,3000000,DD,2015,,All-Rounder,,,,
10,Travis Head,3000000,DD,2015,,Batsman,,,,
11,Marcus Stoinis,2500000,DD,2015,,All-Rounder,,,,
12,C.M. Gautam,2000000,DD,2015,,Wicket Keeper,,,,
13,K.S. Bharat,1000000,DD,2015,,Wicket Keeper,,,,
14,K.K. Jiyaz,1000000,DD,2015,,Bowler,,,,
1,Murali Vijay,30000000,KXIP,2015,,Batsman,,,,
2,Nikhil Shankar Naik,3000000,KXIP,2015,,Wicket Keeper,,,,
3,Yogesh Gowalkar,1000000,KXIP,2015,,All-Rounder,,,,
1,K.C. Cariappa,24000000,KXIP,2015,,Bowler,,,,
2,James Neesham,5000000,KXIP,2015,,All-Rounder,,,,
3,Brad Hogg,5000000,KXIP,2015,,Bowler,,,,
4,Aditya Garhwal,2500000,KXIP,2015,,All-Rounder,,,,
5,Sheldon Jackson,1500000,KXIP,2015,,Batsman,,,,
6,Sumit Narwal,1000000,KXIP,2015,,All-Rounder,,,,
7,Vaibhav Rawal,1000000,KXIP,2015,,All-Rounder,,,,
1,Aaron Finch,32000000,KKR,2015,,Batsman,,,,
2,Pragyan Ojha,5000000,KKR,2015,,Bowler,,,,
3,Abhimanyu Mithun,3000000,KKR,2015,,Bowler,,,,
4,Mitchell McClenaghan,3000000,KKR,2015,,Bowler,,,,
5,Aiden Blizzard,3000000,KKR,2015,,Batsman,,,,
6,Hardik Pandya,1000000,KKR,2015,,All-Rounder,,,,
7,Akshay Wakhare,1000000,KKR,2015,,Bowler,,,,
8,Nitish Rana,1000000,KKR,2015,,All-Rounder,,,,
9,Siddhesh Dinesh Lad,1000000,KKR,2015,,All-Rounder,,,,
10,J. Suchitch,1000000,KKR,2015,,All-Rounder,,,,
1,Christopher Morris,14000000,MI,2015,,All-Rounder,,,,
2,Juan Theron,3000000,MI,2015,,Bowler,,,,
3,Barinder Singh Saran,1000000,MI,2015,,Bowler,,,,
4,Dinesh Salunkhe,1000000,MI,2015,,All-Rounder,,,,
5,Sagar Trivedi,1000000,MI,2015,,All-Rounder,,,,
6,Pardeep Sahu,1000000,MI,2015,,All-Rounder,,,,
1,Dinesh Karthik,105000000,RCB,2015,,Wicket Keeper,,,,
2,Darren Sammy,28000000,RCB,2015,,All-Rounder,,,,
3,David Wiese,28000000,RCB,2015,,All-Rounder,,,,
4,Sean Abbott,10000000,RCB,2015,,Bowler,,,,
5,Adam Milne,7000000,RCB,2015,,Bowler,,,,
6,Sarfaraz Naushad Khan,5000000,RCB,2015,,Batsman,,,,
7,Subramaniam Badrinath,3000000,RCB,2015,,Batsman,,,,
8,Jalaj Saxena,1000000,RCB,2015,,All-Rounder,,,,
9,Shishir Bhavane,1000000,RCB,2015,,Batsman,,,,
1,Trent Boult,38000000,SRH,2015,,Bowler,,,,
2,Praveen Kumar,22000000,SRH,2015,,Bowler,,,,
3,Kevin Pietersen,20000000,SRH,2015,,Batsman,,,,
4,Eoin Morgan,15000000,SRH,2015,,Batsman,,,,
5,Ravi Bopara,10000000,SRH,2015,,All-Rounder,,,,
6,Kane Williamson,6000000,SRH,2015,,All-Rounder,,,,
7,Laxmi Ratan Shukla,3000000,SRH,2015,,All-Rounder,,,,
8,Prasanth Padmanabhan,1000000,SRH,2015,,All-Rounder,,,,
9,Hanuma Vihari,1000000,SRH,2015,,Batsman,,,,
10,Siddharth  Kaul,1000000,SRH,2015,,Bowler,,,,
1,Faf Du Plessis,47500000,CSK,2014,,Batsman,,,,
2,Dwayne Smith,45000000,CSK,2014,,Batsman,,,,
3,Brendon McCullum,32500000,CSK,2014,,Wicket Keeper,,,,
4,Ashish Nehra,20000000,CSK,2014,,Bowler,,,,
5,Mohit Sharma,20000000,CSK,2014,,Bowler,,,,
6,Ishwar Chandra Pandey,15000000,CSK,2014,,Bowler,,,,
7,Ben Hilfenhaus,10000000,CSK,2014,,Bowler,,,,
8,John Hastings,5000000,CSK,2014,,All-Rounder,,,,
9,Samuel Badree,3000000,CSK,2014,,Bowler,,,,
10,Matt Henry,3000000,CSK,2014,,Bowler,,,,
11,Mithun Manhas,3000000,CSK,2014,,All-Rounder,,,,
12,Vijay Shankar,1000000,CSK,2014,,All-Rounder,,,,
13,Ronit More,1000000,CSK,2014,,Bowler,,,,
14,Baba Aparajith,1000000,CSK,2014,,Batsman,,,,
15,Pawan Negi,1000000,CSK,2014,,Bowler,,,,
1,Dinesh Karthik,125000000,DD,2014,,Wicket Keeper,,,,
2,Kevin Pietersen,90000000,DD,2014,,Batsman,,,,
3,Murali Vijay,50000000,DD,2014,,Batsman,,,,
4,Mohammad Shami,42500000,DD,2014,,Bowler,,,,
5,Nathan Coulter-Nile,42500000,DD,2014,,Bowler,,,,
6,Quinton De Kock,35000000,DD,2014,,Wicket Keeper,,,,
7,Manoj Tiwary,28000000,DD,2014,,Batsman,,,,
8,Jaydev Unadkat,28000000,DD,2014,,Bowler,,,,
9,Jean-Paul Duminy,22000000,DD,2014,,Batsman,,,,
10,Ross Taylor,20000000,DD,2014,,Batsman,,,,
11,Kedar Jadhav,20000000,DD,2014,,Batsman,,,,
12,Rahul Sharma,19000000,DD,2014,,Bowler,,,,
13,Mayank Agarwal,16000000,DD,2014,,Batsman,,,,
14,Laxmi Ratan Shukla,15000000,DD,2014,,All-Rounder,,,,
15,James Neesham,10000000,DD,2014,,All-Rounder,,,,
16,Wayne Parnell,10000000,DD,2014,,Bowler,,,,
17,Shahbaz Nadeem,8500000,DD,2014,,Bowler,,,,
18,Saurabh Tiwary,7000000,DD,2014,,Batsman,,,,
19,Siddharth  Kaul,4500000,DD,2014,,Bowler,,,,
20,Rahul Shukla,4000000,DD,2014,,Bowler,,,,
21,Jayant Yadav,1000000,DD,2014,,All-Rounder,,,,
22,HS Sharath,1000000,DD,2014,,Bowler,,,,
23,Milind Kumar,1000000,DD,2014,,Batsman,,,,
1,Mitchell Johnson,65000000,KXIP,2014,,All-Rounder,,,,
2,Glenn Maxwell,60000000,KXIP,2014,,All-Rounder,,,,
3,George Bailey,32500000,KXIP,2014,,Batsman,,,,
4,Virender Sehwag,32000000,KXIP,2014,,Batsman,,,,
5,Rishi Dhawan,30000000,KXIP,2014,,All-Rounder,,,,
6,Wriddhiman Saha,22000000,KXIP,2014,,Wicket Keeper,,,,
7,Shaun Marsh,22000000,KXIP,2014,,Batsman,,,,
8,Cheteshwar Pujara,19000000,KXIP,2014,,Batsman,,,,
9,Beuran Hendricks,18000000,KXIP,2014,,Bowler,,,,
10,Lakshmipathy Balaji,18000000,KXIP,2014,,Bowler,,,,
11,Thisara Perera,16000000,KXIP,2014,,All-Rounder,,,,
12,Gurkirat Singh Mann,13000000,KXIP,2014,,Batsman,,,,
13,Murali Kartik,10000000,KXIP,2014,,Bowler,,,,
14,Sandeep Sharma,8500000,KXIP,2014,,Bowler,,,,
15,Mandeep Hardev Singh,8000000,KXIP,2014,,All-Rounder,,,,
16,Akshar Rajesh Patel,7500000,KXIP,2014,,All-Rounder,,,,
17,Parvinder Awana,6500000,KXIP,2014,,Bowler,,,,
18,Shardul Narendra Thakur,2000000,KXIP,2014,,Bowler,,,,
19,Anureet Singh,2000000,KXIP,2014,,Bowler,,,,
20,Shivam Sharma,1000000,KXIP,2014,,Bowler,,,,
21,Karanveer Singh,1000000,KXIP,2014,,All-Rounder,,,,
1,Jacques Kallis,55000000,KKR,2014,,All-Rounder,,,,
2,Robin Uthappa,50000000,KKR,2014,,Batsman,,,,
3,Piyush Chawla,42500000,KKR,2014,,Bowler,,,,
4,Yusuf Pathan,32500000,KKR,2014,,All-Rounder,,,,
5,Shakib Al Hasan,28000000,KKR,2014,,All-Rounder,,,,
6,Morne Morkel,28000000,KKR,2014,,Bowler,,,,
7,Ranganath Vinay Kumar,28000000,KKR,2014,,Bowler,,,,
8,Umesh Yadav,26000000,KKR,2014,,Bowler,,,,
9,Manish Pandey,17000000,KKR,2014,,Batsman,,,,
10,Chris Lynn,13000000,KKR,2014,,Batsman,,,,
11,Pat Cummins,10000000,KKR,2014,,Bowler,,,,
12,Ryan Ten Doeschate,10000000,KKR,2014,,All-Rounder,,,,
13,Suryakumar Yadav,7000000,KKR,2014,,Batsman,,,,
14,Andre Russell,6000000,KKR,2014,,All-Rounder,,,,
15,Manvinder Bisla,6000000,KKR,2014,,Wicket Keeper,,,,
16,Veer Pratap Singh,4000000,KKR,2014,,Bowler,,,,
17,Kuldeep Singh Yadav,4000000,KKR,2014,,Bowler,,,,
18,Debabrata Das,2000000,KKR,2014,,Wicket Keeper,,,,
19,Sayan Sekhar Mandal,1000000,KKR,2014,,All-Rounder,,,,
1,Michael Hussey,50000000,MI,2014,,Batsman,,,,
2,Corey Anderson,45000000,MI,2014,,All-Rounder,,,,
3,Pragyan Ojha,32500000,MI,2014,,Bowler,,,,
4,Zaheer Khan,26000000,MI,2014,,Bowler,,,,
5,Aditya Tare,16000000,MI,2014,,Wicket Keeper,,,,
6,Jasprit Bumrah,12000000,MI,2014,,Bowler,,,,
7,Jalaj Saxena,9000000,MI,2014,,All-Rounder,,,,
8,Josh Hazlewood,5000000,MI,2014,,Bowler,,,,
9,Marchant De Lange,3000000,MI,2014,,Bowler,,,,
10,Krismar Santokie,3000000,MI,2014,,Bowler,,,,
11,Ben Dunk,2000000,MI,2014,,Wicket Keeper,,,,
12,C.M. Gautam,2000000,MI,2014,,Wicket Keeper,,,,
13,Apoorv Vijay Wankhade,1000000,MI,2014,,Batsman,,,,
14,Pawan Suyal,1000000,MI,2014,,Bowler,,,,
15,Sushant Marathe,1000000,MI,2014,,Wicket Keeper,,,,
16,Shreyas Gopal,1000000,MI,2014,,Bowler,,,,
1,Steve Smith,40000000,RR,2014,,All-Rounder,,,,
2,Brad Hodge,24000000,RR,2014,,Batsman,,,,
3,Rajat Bhatia,17000000,RR,2014,,All-Rounder,,,,
4,Tim Southee,12000000,RR,2014,,Bowler,,,,
5,Dhawal Kulkarni,11000000,RR,2014,,Bowler,,,,
6,Abhishek Nayar,10000000,RR,2014,,All-Rounder,,,,
7,Kane Richardson,10000000,RR,2014,,Bowler,,,,
8,Ben Cutting,8000000,RR,2014,,Bowler,,,,
9,Karun Nair,7500000,RR,2014,,Batsman,,,,
10,Unmukt Chand,6500000,RR,2014,,Batsman,,,,
11,Iqbal Abdullah,6500000,RR,2014,,All-Rounder,,,,
12,Deepak Hooda,4000000,RR,2014,,Bowler,,,,
13,Dishant Yagnik,3000000,RR,2014,,Wicket Keeper,,,,
14,Kevon Cooper,3000000,RR,2014,,All-Rounder,,,,
15,Vikramjeet Malik,2000000,RR,2014,,Bowler,,,,
16,Ankit Nagendra Sharma,1000000,RR,2014,,Bowler,,,,
17,Rahul Tewatia,1000000,RR,2014,,All-Rounder,,,,
18,Ankush Bains,1000000,RR,2014,,Wicket Keeper,,,,
19,Amit Mishra,1000000,RR,2014,,Bowler,,,,
20,Pravin Tambe,1000000,RR,2014,,Bowler,,,,
1,Yuvraj Singh,140000000,RCB,2014,,All-Rounder,,,,
2,Mitchell Starc,50000000,RCB,2014,,Bowler,,,,
3,Albie Morkel,24000000,RCB,2014,,All-Rounder,,,,
4,Varun Aaron,20000000,RCB,2014,,Bowler,,,,
5,Ashok Dinda,15000000,RCB,2014,,Bowler,,,,
6,Parthiv Patel,14000000,RCB,2014,,Wicket Keeper,,,,
7,Muttiah Muralitharan,10000000,RCB,2014,,Bowler,,,,
8,Ravi Rampaul,9000000,RCB,2014,,Bowler,,,,
9,Nic Maddinson,5000000,RCB,2014,,Batsman,,,,
10,Harshal Patel,4000000,RCB,2014,,Bowler,,,,
11,Vijay Zol,3000000,RCB,2014,,Batsman,,,,
12,Abu Nechim Ahmed,3000000,RCB,2014,,Bowler,,,,
13,Sachin Rana,2000000,RCB,2014,,Bowler,,,,
14,Shadab Jakati,2000000,RCB,2014,,Bowler,,,,
15,Sandeep Warrier,1000000,RCB,2014,,Bowler,,,,
16,Tanmay Mishra,1000000,RCB,2014,,Batsman,,,,
17,Yogesh Takawale,1000000,RCB,2014,,Wicket Keeper,,,,
18,Yuzvendra Singh Chahal,1000000,RCB,2014,,Bowler,,,,
1,David Warner,55000000,SRH,2014,,Batsman,,,,
2,Amit Mishra,47500000,SRH,2014,,Bowler,,,,
3,Bhuvneshwar Kumar,42500000,SRH,2014,,Bowler,,,,
4,Aaron Finch,40000000,SRH,2014,,Batsman,,,,
5,Karn Sharma,37500000,SRH,2014,,Bowler,,,,
6,Darren Sammy,35000000,SRH,2014,,All-Rounder,,,,
7,Ishant Sharma,26000000,SRH,2014,,Bowler,,,,
8,Irfan Pathan,24000000,SRH,2014,,All-Rounder,,,,
9,Moises Henriques,10000000,SRH,2014,,All-Rounder,,,,
10,KL Rahul,10000000,SRH,2014,,Batsman,,,,
11,Parveez Rasool,9500000,SRH,2014,,All-Rounder,,,,
12,Jason Holder,7500000,SRH,2014,,Bowler,,,,
13,Venugopal Rao,5500000,SRH,2014,,Batsman,,,,
14,Naman Ojha,5000000,SRH,2014,,Wicket Keeper,,,,
15,Brendan Taylor,3000000,SRH,2014,,Wicket Keeper,,,,
16,Prasanth Parameswaran,3000000,SRH,2014,,Bowler,,,,
17,Amit Paunikar,2000000,SRH,2014,,Wicket Keeper,,,,
18,Ashish Reddy,2000000,SRH,2014,,Bowler,,,,
19,Srikkanth Anirudha,2000000,SRH,2014,,Batsman,,,,
20,Ricky Bhui,1000000,SRH,2014,,Batsman,,,,
21,Chama Milind,1000000,SRH,2014,,Bowler,,,,
22,Manprit Juneja,1000000,SRH,2014,,Batsman,,,,
